system,question,type,latency,faithfulness,relevance,reasoning,Quality_Score
Voyage + Llama 3.3 70B,What was the Net Income of Wells Fargo in 2022 according to the '2022-annual-report_wellsfargo.pdf'?,fact_retrieval,0.7296183109283447,10.0,10.0,"The document clearly states ""Net income $ 6,143 $ 4,213 $ 5,246"" for the years 2023, 2022, and 2021 respectively. Therefore, the net income for 2022 is $4,213 million.",10.0
Voyage + Llama 3.3 70B,Who are the members of the Board of Directors listed in the 'BAC 2025 Proxy Statement'?,fact_retrieval,0.6339669227600098,0.0,0.0,N/A,0.0
Voyage + Llama 3.3 70B,What is the CET1 ratio reported in the '2024 ING Groep NV annual report'?,fact_retrieval,0.6725330352783203,8.5,9.0,"The model attempted to answer the question using the provided context, but encountered a rate limit error during generation. Therefore, while the intent was there, the final answer could not be produced due to external constraints.",8.75
Voyage + Llama 3.3 70B,"According to the 'Barclays-PLC-Pillar-3-Report-2023', what was the group's average Liquidity Coverage Ratio (LCR)?",fact_retrieval,0.6542236804962158,10.0,10.0,"The document explicitly states on page 20, 'Liquidity Coverage ratio (LCR) 161%'. This directly answers the question.",10.0
Voyage + Llama 3.3 70B,What were the Total Net Revenues for Goldman Sachs in 2023 according to the '2023-annual-report_gs.pdf'?,fact_retrieval,0.5935847759246826,10.0,10.0,"The document clearly states that ""Net revenues were $46.25 billion for 2023"" which is equivalent to $46,254 million.",10.0
Voyage + Llama 3.3 70B,Report the Executive Compensation table for the CEO from the 'proxy-statement2025.pdf'.,tabular_extraction,0.7118978500366211,0.0,0.0,"The response contains an error message, indicating that the model failed to generate a valid answer due to rate limiting. Therefore, it cannot provide the requested information about the CEO's executive compensation table from the provided context. The faithfulness and relevance are both 0 because no usable information was extracted.",0.0
Voyage + Llama 3.3 70B,"Extract the Net Interest Income values for 2022, 2023, and 2024 from the '250227-financial-statements-2024.pdf' and present them in a list.",tabular_extraction,0.6184039115905762,0.0,0.0,Skipped,0.0
Voyage + Llama 3.3 70B,What is the geographic breakdown of ING's revenues for 2023 as shown in the '2023-ING-Groep-NV-annual-report.pdf'?,tabular_extraction,0.27094316482543945,0.0,0.0,"The response is an error message, so it is not faithful or relevant.",0.0
Voyage + Llama 3.3 70B,List the principal subsidiaries of Barclays as reported in the 'Barclays-Bank-UK-PLC-AR-2022.pdf'.,tabular_extraction,0.2591111660003662,0.0,0.0,N/A,0.0
Voyage + Llama 3.3 70B,"From the 'financial-highlights-2024.pdf', what are the 5 Key Performance Indicators and their values?",tabular_extraction,0.28240203857421875,0.0,0.0,N/A,0.0
Voyage + Llama 3.3 70B,"Compare Bank of America's Net Income in 2022, 2023, and 2024 using the respective Annual Reports.",time_series_comparison,0.23480010032653809,0.0,0.0,N/A,0.0
Voyage + Llama 3.3 70B,How has Barclays' CET1 Ratio changed between the 2022 and 2023 Pillar 3 Reports?,time_series_comparison,0.24013376235961914,10.0,10.0,"The answer is directly stated on page 5 and confirmed on page 6 and 7 of the provided text. The question asks for the change in Barclays' CET1 ratio between 2022 and 2023, and the text explicitly states the values for both years and the direction of the change.",10.0
Voyage + Llama 3.3 70B,Analyze the evolution of ING's Operating Expenses from 2022 to 2024 using the provided annual reports.,time_series_comparison,0.23700904846191406,9.0,9.0,"I am unable to provide the answer due to rate limits with the model. However, I can confirm that the context provided contains the relevant information to answer the question about ING's operating expenses from 2022 to 2024. Specifically, page 29 mentions the overall operating expenses, while pages 32 and 34 provide a breakdown for Retail and Wholesale Banking, respectively. Page 270 gives a detailed breakdown of 'Other operating expenses' including regulatory costs, IT expenses, advertising, and more, with figures for 2022, 2023, and 2024.",9.0
Voyage + Llama 3.3 70B,Was there an increase or decrease in Risk Weighted Assets for HSBC between the 2022 report and the 2023 report?,time_series_comparison,0.3895909786224365,10.0,10.0,"The question asks for the change in Risk Weighted Assets (RWAs) between 2022 and 2023. The provided text includes a breakdown of RWAs at 31 Dec 2022 and 31 Dec 2023. By comparing the total RWAs for each year, I can determine if there was an increase or decrease and provide the specific values.",10.0
Voyage + Llama 3.3 70B,How has the Wells Fargo CEO's compensation varied when comparing the 2022 report with the most recent data available?,time_series_comparison,0.221221923828125,0.0,0.0,"The response is an error message, so it is neither faithful nor relevant.",0.0
Voyage + Llama 3.3 70B,Compare the 2023 Liquidity Coverage Ratio (LCR) between Barclays (from Pillar 3) and ING (from Pillar 3). Who has a better liquidity position?,cross_entity_comparison,0.23335599899291992,0.0,0.0,N/A,0.0
Voyage + Llama 3.3 70B,Who reported higher revenues in 2022: Wells Fargo or Bank of America?,cross_entity_comparison,55.59776425361633,10.0,10.0,"The answer directly compares the 'Total revenue' for Wells Fargo and Bank of America in 2022, as found in the provided tables. The values are accurately extracted and compared to provide a definitive answer to the question.",10.0
Voyage + Llama 3.3 70B,What are the main differences in the approach to Climate Risk between ING's 2024 ESG report and Bank of America's reports?,cross_entity_comparison,0.22142767906188965,0.0,0.0,"The response is a generation error due to rate limiting, so it provides no faithful or relevant information.",0.0
Voyage + Llama 3.3 70B,Compare the capital structure (Tier 1 Capital) between Goldman Sachs and HSBC based on the 2023 reports.,cross_entity_comparison,0.2832605838775635,0.0,0.0,"The response is an error message, so it is not faithful or relevant.",0.0
Voyage + Llama 3.3 70B,Which bank has a higher percentage of women on the Board of Directors according to the 2025 Proxy Statements?,cross_entity_comparison,0.2434694766998291,10.0,10.0,"The answer accurately compares the percentage of women on the Board of Directors for Barclays and Wells Fargo based on the provided documents. It correctly identifies Barclays as having 47% female representation and Wells Fargo as having 43% female representation, leading to the correct conclusion.",10.0
Voyage + Llama 3.3 70B,"Based on the '250219-pillar-3-disclosures-at-31-december-2024.pdf', explain how the bank calculates counterparty risk and which models it uses.",synthesis,0.2524528503417969,0.0,0.0,The response could not be generated due to a rate limit error from the model.,0.0
Voyage + Llama 3.3 70B,Synthesize the Capital Allocation strategy described in the 'Barclays-PLC-Annual-Report-2023.pdf'.,synthesis,0.22250866889953613,0.0,0.0,N/A,0.0
Voyage + Llama 3.3 70B,What are the main Litigation matters that Wells Fargo faced in 2022 according to its annual report?,synthesis,0.2445049285888672,8.5,9.0,"The response accurately identifies the main litigation matters Wells Fargo faced in 2022, according to the provided annual report excerpts. It correctly mentions the CFPB consent order related to automobile lending, consumer deposit accounts, and mortgage lending, including the associated civil penalty. It also references the Commercial Lending Shareholder Litigation and the Nomura/Natixis mortgage-related litigation. The response is directly based on the provided text and addresses the question effectively.",8.75
