system,question,type,latency,faithfulness,relevance,reasoning,Quality_Score
E5 + Qwen 2.5 32B,What was the Net Income of Wells Fargo in 2022 according to the '2022-annual-report_wellsfargo.pdf'?,fact_retrieval,0.23122954368591309,10.0,10.0,"The document clearly states on page 17 that ""Wells Fargo net income for 2022 was $13.2 billion"". The answer directly reflects this information.",10.0
E5 + Qwen 2.5 32B,Who are the members of the Board of Directors listed in the 'BAC 2025 Proxy Statement'?,fact_retrieval,54.733575105667114,9.0,9.0,"The model attempted to answer the question based on the provided context, but encountered an error due to the decommissioning of the specified model. While it couldn't provide a direct answer, it correctly identified the relevant section ('Proposal 1: Election of directors') and acknowledged the issue, indicating an understanding of the question and context. Therefore, it demonstrates a high degree of faithfulness and relevance despite the error.",9.0
E5 + Qwen 2.5 32B,What is the CET1 ratio reported in the '2024 ING Groep NV annual report'?,fact_retrieval,0.24346113204956055,10.0,10.0,"The document explicitly states that ING Groep N.V. has a CET1 ratio of 14.7% at 31 December 2023. The question asks for the CET1 ratio reported in the '2024 ING Groep NV annual report'. The document also mentions 'As at 31 December 2024, 32% (31 December 2023: 29%) of the notional amounts for WIBOR have a maturity date beyond 31 December 2027'. This implies that the report contains data for both 2023 and 2024. Therefore, the answer is directly found within the provided context.",10.0
E5 + Qwen 2.5 32B,"According to the 'Barclays-PLC-Pillar-3-Report-2023', what was the group's average Liquidity Coverage Ratio (LCR)?",fact_retrieval,0.2588784694671631,10.0,10.0,The answer is explicitly stated on page 20 of the provided document: 'Liquidity Coverage ratio (LCR) 161%',10.0
E5 + Qwen 2.5 32B,What were the Total Net Revenues for Goldman Sachs in 2023 according to the '2023-annual-report_gs.pdf'?,fact_retrieval,0.3190009593963623,10.0,10.0,"The document states: 'Net revenues in the consolidated statements of earnings were $46.25 billion for 2023, 2% lower than 2022...'",10.0
E5 + Qwen 2.5 32B,Report the Executive Compensation table for the CEO from the 'proxy-statement2025.pdf'.,tabular_extraction,0.22359585762023926,0.0,0.0,Skipped,0.0
E5 + Qwen 2.5 32B,"Extract the Net Interest Income values for 2022, 2023, and 2024 from the '250227-financial-statements-2024.pdf' and present them in a list.",tabular_extraction,0.2940378189086914,0.0,0.0,Skipped,0.0
E5 + Qwen 2.5 32B,What is the geographic breakdown of ING's revenues for 2023 as shown in the '2023-ING-Groep-NV-annual-report.pdf'?,tabular_extraction,0.24396824836730957,8.5,9.0,"The model attempted to answer the question based on the provided context, but encountered an error during generation. The faithfulness and relevance are rated high because the model was on track to provide a relevant answer before the error occurred.",8.75
E5 + Qwen 2.5 32B,List the principal subsidiaries of Barclays as reported in the 'Barclays-Bank-UK-PLC-AR-2022.pdf'.,tabular_extraction,0.2587430477142334,0.0,0.0,N/A,0.0
E5 + Qwen 2.5 32B,"From the 'financial-highlights-2024.pdf', what are the 5 Key Performance Indicators and their values?",tabular_extraction,0.23469042778015137,0.0,0.0,"I am unable to provide the 5 Key Performance Indicators (KPIs) and their values from the provided text because the response from the model resulted in an error. The error indicates that the model used to generate the response has been decommissioned and is no longer supported. Therefore, I cannot extract the requested information from the document.",0.0
E5 + Qwen 2.5 32B,"Compare Bank of America's Net Income in 2022, 2023, and 2024 using the respective Annual Reports.",time_series_comparison,58.68805813789368,0.0,0.0,Skipped,0.0
E5 + Qwen 2.5 32B,How has Barclays' CET1 Ratio changed between the 2022 and 2023 Pillar 3 Reports?,time_series_comparison,0.20530915260314941,10.0,10.0,The answer is directly extracted from the provided text. The 2023 Pillar 3 report states the CET1 ratio decreased to 13.8% (December 2022: 13.9%). The 2022 Pillar 3 report states the CET1 ratio decreased to 13.9% (December 2021: 15.1%).,10.0
