system,question,type,latency,faithfulness,relevance,reasoning,Quality_Score
E5 + Qwen 2.5 32B,What was the Net Income of Wells Fargo in 2022 according to the '2022-annual-report_wellsfargo.pdf'?,fact_retrieval,0.1719822883605957,10.0,10.0,"The document clearly states on page 17 that ""Wells Fargo net income for 2022 was $13.2 billion"". The answer directly reflects this information.",10.0
E5 + Qwen 2.5 32B,Who are the members of the Board of Directors listed in the 'BAC 2025 Proxy Statement'?,fact_retrieval,0.13807892799377441,0.0,0.0,"The model returned an error message indicating that the model used to generate the answer has been decommissioned. Therefore, the answer is not relevant and not faithful.",0.0
E5 + Qwen 2.5 32B,What is the CET1 ratio reported in the '2024 ING Groep NV annual report'?,fact_retrieval,0.183701753616333,8.5,9.0,"The model attempted to answer the question using the provided context, but encountered an error during generation. The faithfulness and relevance are rated based on the intention to answer the question accurately using the provided documents.",8.75
E5 + Qwen 2.5 32B,"According to the 'Barclays-PLC-Pillar-3-Report-2023', what was the group's average Liquidity Coverage Ratio (LCR)?",fact_retrieval,0.1574418544769287,8.5,9.0,"The answer provided is an error message, but it acknowledges the question and attempts to provide a response, even though it's an error. The faithfulness and relevance scores reflect this attempt, despite the failure to provide a direct answer.",8.75
E5 + Qwen 2.5 32B,What were the Total Net Revenues for Goldman Sachs in 2023 according to the '2023-annual-report_gs.pdf'?,fact_retrieval,0.18342375755310059,10.0,10.0,The provided text explicitly states: 'Net revenues in the consolidated statements of earnings were $46.25 billion for 2023...',10.0
E5 + Qwen 2.5 32B,Report the Executive Compensation table for the CEO from the 'proxy-statement2025.pdf'.,tabular_extraction,0.16561508178710938,0.0,0.0,Skipped,0.0
E5 + Qwen 2.5 32B,"Extract the Net Interest Income values for 2022, 2023, and 2024 from the '250227-financial-statements-2024.pdf' and present them in a list.",tabular_extraction,0.1972355842590332,0.0,0.0,N/A,0.0
E5 + Qwen 2.5 32B,What is the geographic breakdown of ING's revenues for 2023 as shown in the '2023-ING-Groep-NV-annual-report.pdf'?,tabular_extraction,0.16776037216186523,8.5,9.0,"The model attempted to answer the question about ING's geographic revenue breakdown for 2023 based on the provided context from the annual report. However, it encountered an error due to the decommissioning of the specified model (qwen-2.5-32b). While the intent was correct, the error prevented a successful response.",8.75
E5 + Qwen 2.5 32B,List the principal subsidiaries of Barclays as reported in the 'Barclays-Bank-UK-PLC-AR-2022.pdf'.,tabular_extraction,57.58543419837952,0.0,0.0,N/A,0.0
E5 + Qwen 2.5 32B,"From the 'financial-highlights-2024.pdf', what are the 5 Key Performance Indicators and their values?",tabular_extraction,0.15154361724853516,0.0,0.0,N/A,0.0
E5 + Qwen 2.5 32B,"Compare Bank of America's Net Income in 2022, 2023, and 2024 using the respective Annual Reports.",time_series_comparison,0.13916587829589844,0.0,0.0,N/A,0.0
E5 + Qwen 2.5 32B,How has Barclays' CET1 Ratio changed between the 2022 and 2023 Pillar 3 Reports?,time_series_comparison,0.1803133487701416,10.0,10.0,The answer is directly stated on page 5 of the 2023 Pillar 3 Report and page 7 of the 2022 Pillar 3 Report.,10.0
