system,question,type,latency,faithfulness,relevance,reasoning,Quality_Score
Voyage + Llama 3.3 70B,What was the Net Income of Wells Fargo in 2022 according to the '2022-annual-report_wellsfargo.pdf'?,fact_retrieval,1.7671027183532715,10.0,10.0,The answer is directly stated on page 17 of the document. The answer is relevant to the question asked.,10.0
Voyage + Llama 3.3 70B,Who are the members of the Board of Directors listed in the 'BAC 2025 Proxy Statement'?,fact_retrieval,2.7244715690612793,8.5,9.0,The response accurately identifies the Board of Directors from the provided text snippets. It acknowledges the discrepancy between the initial list (JPMorgan Chase) and the implied subject (Bank of America) and provides a more relevant list based on the other provided documents. The response is well-organized and clearly presents the information.,8.75
Voyage + Llama 3.3 70B,What is the CET1 ratio reported in the '2024 ING Groep NV annual report'?,fact_retrieval,1.9528732299804688,8.5,9.0,"The answer correctly states that the CET1 ratio is not explicitly stated in the provided context. It also accurately points to where the information might be found within the report, based on the context provided. The answer acknowledges the limitations of the provided context.",8.75
Voyage + Llama 3.3 70B,"According to the 'Barclays-PLC-Pillar-3-Report-2023', what was the group's average Liquidity Coverage Ratio (LCR)?",fact_retrieval,2.2833993434906006,10.0,10.0,"The answer accurately reflects the information provided in the document. The LCR is correctly identified as 161% as of 31 December 2023, and the context from the document supports this claim. The answer is directly relevant to the question asked.",10.0
Voyage + Llama 3.3 70B,What were the Total Net Revenues for Goldman Sachs in 2023 according to the '2023-annual-report_gs.pdf'?,fact_retrieval,1.921306848526001,10.0,10.0,The answer is directly stated in the provided text and accurately reflects the information presented in the document. The answer is relevant to the question asked.,10.0
Voyage + Llama 3.3 70B,Report the Executive Compensation table for the CEO from the 'proxy-statement2025.pdf'.,tabular_extraction,2.175693988800049,9.0,9.0,The response correctly identifies that the provided context does not contain the requested table but accurately points to the pages where such information would likely be found based on the table of contents. It also explains why it cannot fulfill the request due to the missing data.,9.0
Voyage + Llama 3.3 70B,"Extract the Net Interest Income values for 2022, 2023, and 2024 from the '250227-financial-statements-2024.pdf' and present them in a list.",tabular_extraction,2.0515007972717285,9.5,10.0,"The answer accurately extracts the Net Interest Income values for the specified years (2022, 2023, and 2024) from the provided text. The values are correctly identified and presented in a structured JSON format, including the year, value, and unit (million). The response directly addresses the user's question and provides the requested information without any extraneous details.",9.75
Voyage + Llama 3.3 70B,What is the geographic breakdown of ING's revenues for 2023 as shown in the '2023-ING-Groep-NV-annual-report.pdf'?,tabular_extraction,4.98019003868103,8.5,9.0,The response accurately extracts and presents the available geographic and sector revenue data for ING in 2023 from the provided text snippets. It acknowledges the incompleteness of the data and presents multiple tables to provide a comprehensive overview of the available information. The response also correctly identifies the source document.,8.75
Voyage + Llama 3.3 70B,List the principal subsidiaries of Barclays as reported in the 'Barclays-Bank-UK-PLC-AR-2022.pdf'.,tabular_extraction,9.928733587265015,9.0,10.0,"The answer accurately extracts the list of principal subsidiaries from the provided document snippets, specifically from page 490 of 'Barclays-Bank-UK-PLC-AR-2022.pdf'. It correctly identifies and presents the subsidiaries along with their country of incorporation, nature of business, percentage of ownership, and percentage of voting rights, as available in the document. The response also acknowledges the limitations of the provided context and refers to another document ('Barclays-PLC-Annual-Report-2023.pdf') for additional information, demonstrating a comprehensive approach to answering the question.",9.5
Voyage + Llama 3.3 70B,"From the 'financial-highlights-2024.pdf', what are the 5 Key Performance Indicators and their values?",tabular_extraction,7.069733142852783,10.0,10.0,"The answer is based on the provided text, extracting the KPIs and their values as requested. The answer is relevant to the question.",10.0
