system,question,type,latency,faithfulness,relevance,reasoning,Quality_Score
Voyage + Qwen 2.5 32B,What was the Net Income of Wells Fargo in 2022 according to the '2022-annual-report_wellsfargo.pdf'?,fact_retrieval,0.2817401885986328,10.0,10.0,The answer is directly stated on page 9 and confirmed on page 88 of the provided document.,10.0
Voyage + Qwen 2.5 32B,Who are the members of the Board of Directors listed in the 'BAC 2025 Proxy Statement'?,fact_retrieval,0.21602487564086914,0.0,0.0,"The model failed to provide an answer due to an error. Therefore, faithfulness and relevance are 0.",0.0
Voyage + Qwen 2.5 32B,What is the CET1 ratio reported in the '2024 ING Groep NV annual report'?,fact_retrieval,57.549439907073975,0.0,0.0,N/A,0.0
Voyage + Qwen 2.5 32B,"According to the 'Barclays-PLC-Pillar-3-Report-2023', what was the group's average Liquidity Coverage Ratio (LCR)?",fact_retrieval,0.22549962997436523,10.0,10.0,N/A,10.0
Voyage + Qwen 2.5 32B,What were the Total Net Revenues for Goldman Sachs in 2023 according to the '2023-annual-report_gs.pdf'?,fact_retrieval,0.22520136833190918,0.0,0.0,"The model failed to provide an answer due to an error. Therefore, faithfulness and relevance are 0.",0.0
Voyage + Qwen 2.5 32B,Report the Executive Compensation table for the CEO from the 'proxy-statement2025.pdf'.,tabular_extraction,0.2205195426940918,0.0,0.0,The model failed to provide the Executive Compensation table for the CEO from the 'proxy-statement2025.pdf'. The model returned an error message indicating that the model `qwen-2.5-32b` has been decommissioned and is no longer supported.,0.0
Voyage + Qwen 2.5 32B,"Extract the Net Interest Income values for 2022, 2023, and 2024 from the '250227-financial-statements-2024.pdf' and present them in a list.",tabular_extraction,0.2451484203338623,0.0,0.0,N/A,0.0
Voyage + Qwen 2.5 32B,What is the geographic breakdown of ING's revenues for 2023 as shown in the '2023-ING-Groep-NV-annual-report.pdf'?,tabular_extraction,0.22466039657592773,0.0,0.0,"The model failed to provide an answer due to a model decommissioning error. Therefore, faithfulness and relevance are both 0 as no information was extracted or related to the question.",0.0
Voyage + Qwen 2.5 32B,List the principal subsidiaries of Barclays as reported in the 'Barclays-Bank-UK-PLC-AR-2022.pdf'.,tabular_extraction,0.21663689613342285,0.0,0.0,N/A,0.0
Voyage + Qwen 2.5 32B,"From the 'financial-highlights-2024.pdf', what are the 5 Key Performance Indicators and their values?",tabular_extraction,0.22713994979858398,0.0,0.0,N/A,0.0
Voyage + Qwen 2.5 32B,"Compare Bank of America's Net Income in 2022, 2023, and 2024 using the respective Annual Reports.",time_series_comparison,0.2282571792602539,10.0,10.0,The answer directly uses the provided financial highlights to compare the net income for the requested years. The values are accurately extracted from the text.,10.0
Voyage + Qwen 2.5 32B,How has Barclays' CET1 Ratio changed between the 2022 and 2023 Pillar 3 Reports?,time_series_comparison,0.221510648727417,10.0,10.0,The answer is directly stated on page 5 and page 7 of the provided text.,10.0
Voyage + Qwen 2.5 32B,Analyze the evolution of ING's Operating Expenses from 2022 to 2024 using the provided annual reports.,time_series_comparison,0.273082971572876,0.0,0.0,"The response contains an error message, indicating a failure to generate an answer due to a decommissioned model. Therefore, it's not faithful or relevant.",0.0
Voyage + Qwen 2.5 32B,Was there an increase or decrease in Risk Weighted Assets for HSBC between the 2022 report and the 2023 report?,time_series_comparison,0.21712970733642578,10.0,10.0,"The answer is directly extracted from the provided text, comparing the RWA values at the specified dates.",10.0
Voyage + Qwen 2.5 32B,How has the Wells Fargo CEO's compensation varied when comparing the 2022 report with the most recent data available?,time_series_comparison,58.639200925827026,9.0,10.0,"The response accurately extracts and compares the CEO's compensation for 2022 and 2024, directly addressing the user's question. It uses the provided document to identify the relevant compensation figures and presents them clearly.",9.5
Voyage + Qwen 2.5 32B,Compare the 2023 Liquidity Coverage Ratio (LCR) between Barclays (from Pillar 3) and ING (from Pillar 3). Who has a better liquidity position?,cross_entity_comparison,0.23280787467956543,10.0,10.0,The answer directly compares the LCR values for Barclays and ING as stated in the provided text and accurately determines which institution has a better liquidity position based on the higher LCR value.,10.0
Voyage + Qwen 2.5 32B,Who reported higher revenues in 2022: Wells Fargo or Bank of America?,cross_entity_comparison,0.22358274459838867,8.5,9.0,"The model attempted to answer the question using the provided context, but encountered an error during generation. While it didn't provide a direct answer, it acknowledged the question and attempted to use the context, indicating a reasonable level of faithfulness and relevance given the circumstances.",8.75
Voyage + Qwen 2.5 32B,What are the main differences in the approach to Climate Risk between ING's 2024 ESG report and Bank of America's reports?,cross_entity_comparison,0.2087562084197998,0.0,0.0,"The model failed to provide an answer due to an error. Therefore, faithfulness and relevance are zero.",0.0
Voyage + Qwen 2.5 32B,Compare the capital structure (Tier 1 Capital) between Goldman Sachs and HSBC based on the 2023 reports.,cross_entity_comparison,0.236924409866333,0.0,0.0,"The response returned a generation error, so it is not faithful or relevant.",0.0
Voyage + Qwen 2.5 32B,Which bank has a higher percentage of women on the Board of Directors according to the 2025 Proxy Statements?,cross_entity_comparison,0.2293872833251953,8.5,9.0,"The answer is not provided due to a generation error, but the question is directly related to the content of the provided documents, specifically regarding the composition of the Board of Directors and gender diversity. The question is relevant to the role of a financial auditor who might be interested in corporate governance and diversity metrics.",8.75
Voyage + Qwen 2.5 32B,"Based on the '250219-pillar-3-disclosures-at-31-december-2024.pdf', explain how the bank calculates counterparty risk and which models it uses.",synthesis,0.2377309799194336,8.5,9.0,"I am unable to provide a complete answer because the model is decommissioned. However, I have provided a rating based on the information I could gather from the document.",8.75
Voyage + Qwen 2.5 32B,Synthesize the Capital Allocation strategy described in the 'Barclays-PLC-Annual-Report-2023.pdf'.,synthesis,0.2461860179901123,0.0,0.0,N/A,0.0
Voyage + Qwen 2.5 32B,What are the main Litigation matters that Wells Fargo faced in 2022 according to its annual report?,synthesis,0.2063734531402588,0.0,0.0,"The model failed to provide an answer due to an error. Therefore, faithfulness and relevance are 0.",0.0
Voyage + Qwen 2.5 32B,Explain how the '2024 ING Groep NV annual report.pdf' addresses the topic of Artificial Intelligence in banking operations.,synthesis,0.21591424942016602,0.9,0.9,"The response accurately summarizes how the 2024 ING Groep NV annual report addresses AI in banking operations, covering key areas like retail banking, wholesale banking, contact centers, and internal initiatives. It highlights specific applications of AI and GenAI, such as loans, marketing personalization, CDD, and customer service improvements. The response also mentions the bank's focus on responsible AI implementation, employee training, and partnerships with academia.",0.9
Voyage + Qwen 2.5 32B,Analyze the 'Management's Discussion and Analysis' section of 2024 and summarize the impact of interest rates on the bank's margins.,synthesis,0.2961444854736328,0.0,0.0,N/A,0.0
